26-Jul-24 4:14:47 PM: # Cycle 00001 | Well D01, Position 00001 | Channel BRIGHT | Filter GFP | X:19904 Y:-83616 Z:7243
26-Jul-24 4:15:00 PM: # Cycle 00001 | Well D02, Position 00001 | Channel BRIGHT | Filter GFP | X:37682 Y:-83616 Z:7337
26-Jul-24 4:15:12 PM: # Cycle 00001 | Well D03, Position 00001 | Channel BRIGHT | Filter GFP | X:55457 Y:-83616 Z:7339
26-Jul-24 4:15:26 PM: # Cycle 00001 | Well D04, Position 00001 | Channel BRIGHT | Filter GFP | X:73232 Y:-83616 Z:7245
26-Jul-24 4:15:39 PM: # Cycle 00001 | Well D05, Position 00001 | Channel BRIGHT | Filter GFP | X:91008 Y:-83616 Z:7432
26-Jul-24 4:15:52 PM: # Cycle 00001 | Well D06, Position 00001 | Channel BRIGHT | Filter GFP | X:108785 Y:-83616 Z:7316
26-Jul-24 4:16:05 PM: # Cycle 00001 | Well D07, Position 00001 | Channel BRIGHT | Filter GFP | X:126560 Y:-83616 Z:7498
26-Jul-24 4:16:18 PM: # Cycle 00001 | Well D08, Position 00001 | Channel BRIGHT | Filter GFP | X:144337 Y:-83616 Z:7338
26-Jul-24 4:16:32 PM: # Cycle 00001 | Well D09, Position 00001 | Channel BRIGHT | Filter GFP | X:162111 Y:-83617 Z:7348
26-Jul-24 4:16:45 PM: # Cycle 00001 | Well D10, Position 00001 | Channel BRIGHT | Filter GFP | X:179891 Y:-83616 Z:7468
26-Jul-24 4:16:59 PM: # Cycle 00001 | Well D11, Position 00001 | Channel BRIGHT | Filter GFP | X:197665 Y:-83617 Z:7384
26-Jul-24 4:17:12 PM: # Cycle 00001 | Well D12, Position 00001 | Channel BRIGHT | Filter GFP | X:215439 Y:-83617 Z:7414
26-Jul-24 4:17:25 PM: # Cycle 00001 | Well E12, Position 00001 | Channel BRIGHT | Filter GFP | X:215439 Y:-65720 Z:7416
26-Jul-24 4:17:38 PM: # Cycle 00001 | Well E11, Position 00001 | Channel BRIGHT | Filter GFP | X:197664 Y:-65720 Z:7486
26-Jul-24 4:17:50 PM: # Cycle 00001 | Well E10, Position 00001 | Channel BRIGHT | Filter GFP | X:179888 Y:-65719 Z:7479
26-Jul-24 4:18:03 PM: # Cycle 00001 | Well E09, Position 00001 | Channel BRIGHT | Filter GFP | X:162112 Y:-65719 Z:7533
