29-Aug-24 8:22:55 PM: # Cycle 00001 | Well H10, Position 00001 | Channel BRIGHT | Filter GFP | X:179888 Y:-12027 Z:7433
29-Aug-24 8:23:08 PM: # Cycle 00001 | Well H09, Position 00001 | Channel BRIGHT | Filter GFP | X:162112 Y:-12027 Z:7453
29-Aug-24 8:23:20 PM: # Cycle 00001 | Well H08, Position 00001 | Channel BRIGHT | Filter GFP | X:144334 Y:-12027 Z:7466
29-Aug-24 8:23:32 PM: # Cycle 00001 | Well H07, Position 00001 | Channel BRIGHT | Filter GFP | X:126559 Y:-12027 Z:7472
29-Aug-24 8:23:45 PM: # Cycle 00001 | Well H06, Position 00001 | Channel BRIGHT | Filter GFP | X:108782 Y:-12027 Z:7450
29-Aug-24 8:23:57 PM: # Cycle 00001 | Well H05, Position 00001 | Channel BRIGHT | Filter GFP | X:91007 Y:-12027 Z:7452
29-Aug-24 8:24:10 PM: # Cycle 00001 | Well H04, Position 00001 | Channel BRIGHT | Filter GFP | X:73232 Y:-12027 Z:7373
29-Aug-24 8:24:23 PM: # Cycle 00001 | Well H03, Position 00001 | Channel BRIGHT | Filter GFP | X:55457 Y:-12027 Z:7330
29-Aug-24 8:24:36 PM: # Cycle 00001 | Well H02, Position 00001 | Channel BRIGHT | Filter GFP | X:37680 Y:-12027 Z:7276
29-Aug-24 8:24:48 PM: # Cycle 00001 | Well H01, Position 00001 | Channel BRIGHT | Filter GFP | X:19904 Y:-12027 Z:7138
30-Aug-24 12:14:50 AM: # Cycle 00002 | Well B01, Position 00001 | Channel BRIGHT | Filter GFP | X:19902 Y:-119410 Z:7156
30-Aug-24 12:15:02 AM: # Cycle 00002 | Well B02, Position 00001 | Channel BRIGHT | Filter GFP | X:37681 Y:-119410 Z:7234
30-Aug-24 12:15:15 AM: # Cycle 00002 | Well B03, Position 00001 | Channel BRIGHT | Filter GFP | X:55458 Y:-119409 Z:7298
30-Aug-24 12:15:28 AM: # Cycle 00002 | Well B04, Position 00001 | Channel BRIGHT | Filter GFP | X:73232 Y:-119409 Z:7344
30-Aug-24 12:15:40 AM: # Cycle 00002 | Well B05, Position 00001 | Channel BRIGHT | Filter GFP | X:91009 Y:-119410 Z:7342
30-Aug-24 12:15:53 AM: # Cycle 00002 | Well B06, Position 00001 | Channel BRIGHT | Filter GFP | X:108785 Y:-119410 Z:7422
30-Aug-24 12:16:05 AM: # Cycle 00002 | Well B07, Position 00001 | Channel BRIGHT | Filter GFP | X:126561 Y:-119410 Z:7392
30-Aug-24 12:16:18 AM: # Cycle 00002 | Well B08, Position 00001 | Channel BRIGHT | Filter GFP | X:144339 Y:-119410 Z:7428
30-Aug-24 12:16:31 AM: # Cycle 00002 | Well B09, Position 00001 | Channel BRIGHT | Filter GFP | X:162116 Y:-119411 Z:7382
30-Aug-24 12:16:43 AM: # Cycle 00002 | Well B10, Position 00001 | Channel BRIGHT | Filter GFP | X:179892 Y:-119411 Z:7424
30-Aug-24 12:16:55 AM: # Cycle 00002 | Well B11, Position 00001 | Channel BRIGHT | Filter GFP | X:197670 Y:-119412 Z:7424
30-Aug-24 12:17:07 AM: # Cycle 00002 | Well B12, Position 00001 | Channel BRIGHT | Filter GFP | X:215444 Y:-119411 Z:7436
30-Aug-24 12:17:23 AM: # Cycle 00002 | Well D12, Position 00001 | Channel BRIGHT | Filter GFP | X:215437 Y:-83616 Z:7398
30-Aug-24 12:17:35 AM: # Cycle 00002 | Well D11, Position 00001 | Channel BRIGHT | Filter GFP | X:197663 Y:-83616 Z:7380
30-Aug-24 12:17:48 AM: # Cycle 00002 | Well D10, Position 00001 | Channel BRIGHT | Filter GFP | X:179888 Y:-83615 Z:7430
30-Aug-24 12:18:00 AM: # Cycle 00002 | Well D09, Position 00001 | Channel BRIGHT | Filter GFP | X:162112 Y:-83615 Z:7460
30-Aug-24 12:18:12 AM: # Cycle 00002 | Well D08, Position 00001 | Channel BRIGHT | Filter GFP | X:144334 Y:-83615 Z:7452
30-Aug-24 12:18:25 AM: # Cycle 00002 | Well D07, Position 00001 | Channel BRIGHT | Filter GFP | X:126559 Y:-83615 Z:7480
30-Aug-24 12:18:38 AM: # Cycle 00002 | Well D06, Position 00001 | Channel BRIGHT | Filter GFP | X:108782 Y:-83615 Z:7427
30-Aug-24 12:18:51 AM: # Cycle 00002 | Well D05, Position 00001 | Channel BRIGHT | Filter GFP | X:91007 Y:-83615 Z:7397
30-Aug-24 12:19:03 AM: # Cycle 00002 | Well D04, Position 00001 | Channel BRIGHT | Filter GFP | X:73231 Y:-83615 Z:7340
30-Aug-24 12:19:17 AM: # Cycle 00002 | Well D03, Position 00001 | Channel BRIGHT | Filter GFP | X:55457 Y:-83615 Z:7125
30-Aug-24 12:19:29 AM: # Cycle 00002 | Well D02, Position 00001 | Channel BRIGHT | Filter GFP | X:37680 Y:-83615 Z:7121
30-Aug-24 12:19:41 AM: # Cycle 00002 | Well D01, Position 00001 | Channel BRIGHT | Filter GFP | X:19904 Y:-83615 Z:7021
30-Aug-24 12:19:57 AM: # Cycle 00002 | Well F01, Position 00001 | Channel BRIGHT | Filter GFP | X:19908 Y:-47824 Z:7211
30-Aug-24 12:20:10 AM: # Cycle 00002 | Well F02, Position 00001 | Channel BRIGHT | Filter GFP | X:37683 Y:-47824 Z:7273
30-Aug-24 12:20:22 AM: # Cycle 00002 | Well F03, Position 00001 | Channel BRIGHT | Filter GFP | X:55459 Y:-47824 Z:7347
